miRNA,D10_WT_Fe_Ov-1,D10_WT_Fe_Ov-2,D10_WT_Fe_Ov-3,D10_MT_Fe_Ov-1,D10_MT_Fe_Ov-2,D10_MT_Fe_Ov-3,D10_WT_Ma_Te-1,D10_WT_Ma_Te-2,D10_WT_Ma_Te-3,D30_WT_Fe_Ov-1,D30_WT_Fe_Ov-2,D30_WT_Fe_Ov-3,D30_MT_Fe_Ov-1,D30_MT_Fe_Ov-2,D30_MT_Fe_Ov-3,D30_WT_Ma_Te-1,D30_WT_Ma_Te-2,D30_WT_Ma_Te-3,D120_WT_Fe_Ov-1,D120_WT_Fe_Ov-2,D120_WT_Fe_Ov-3,D120_MT_Fe_Ov-1,D120_MT_Fe_Ov-2,D120_MT_Fe_Ov-3,D120_WT_Ma_Te-1,D120_WT_Ma_Te-2,D120_WT_Ma_Te-3
ola-miR-430d-2-3p,10.91475923,11.65483778,12.80815491,15.63821403,11.62254909,13.15388561,30.01253813,19.85018667,12.86878024,0,0,9.710576274,55.93310401,0,37.01657773,22.49406719,6.122061665,26.35905648,5.446249331,3.127151694,82.42209771,2.525278033,3.094049833,2.957315585,78.89799443,77.78306871,100.30204
ola-miR-430d-2-17-3p,0.269500228,0,0.413166287,0.137177316,0,0,0,0,0.227766022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739328896,0,0,0.872191652
ola-miR-449-1-5p,120.4666019,96.96825036,98.54015956,109.6046756,115.1007281,125.5288911,65.94860353,16.6741568,149.6422764,0,0,0,0,0,0,0,0,3.29488206,1.089249866,1.421432588,0.97540944,1.262639017,0,3.696644482,500.2653053,514.1271127,388.1252851
ola-miR-449-1-3p,5.929005016,3.496451335,4.751412306,13.30619966,7.498418771,5.556382713,7.503134533,0.397003733,7.060746679,23.45331556,112.5219799,173.1719436,0,0,0,0,0,0,0,0,0,0,0,0,27.74434969,33.2000903,13.08287478
ola-miR-449-2-5p,6.333255358,3.496451335,5.990911168,3.429432902,2.811907039,4.535822623,2.764312723,0,4.555320438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.739328896,41.61652453,50.27442246,31.39889947
ola-miR-451-5p,20803.66585,13559.70447,10271.72707,9617.638808,14568.86529,25028.55584,6100.443277,9438.763762,9268.027197,5023.94707,6432.824378,5646.700103,15912.96809,27963.69304,7779.176182,30509.45313,18337.61538,26761.03209,75041.14641,112641.994,109963.7587,47854.01873,122920.7985,106711.7756,48190.20139,83936.46831,47807.44102
ola-miR-454b-5p,4.581503876,7.925289693,11.15548976,20.30224278,8.998102525,6.463547238,22.5094036,15.88014934,16.05750454,37.03155088,0,0,65.25528801,0,0,3.749011198,2.040687222,6.589764119,0,1.13714607,0.48770472,1.262639017,0.386756229,0.739328896,2.601032783,3.794296035,5.233149911
ola-miR-454b-3p,528.355197,530.0620224,567.2773127,255.8356945,393.1046041,466.0557745,625.9193808,485.1385622,481.3834873,0,40.05019625,0,0,0,39.86400679,148.0859423,85.70886332,105.4362259,116.5497357,135.3203824,139.48355,136.9963333,125.3090182,167.8276595,205.4815899,184.0233577,199.7318883
ola-miR-455-5p,4179.948536,3418.363922,3726.966496,3864.422171,4080.826956,5187.620334,3980.215419,3282.426868,4211.507628,643.1146003,635.0816833,483.9103843,382.2095441,513.4317411,464.1309362,1651.439433,1546.840914,1924.211123,1181.29148,1169.83902,1144.155273,1431.832645,1338.950065,1263.513084,997.9295779,890.7109942,1195.774755
ola-miR-455-3p,365.3075591,235.4277232,374.7418227,425.6612118,373.0463339,467.5299169,507.8437374,307.2808897,342.4462139,3273.589098,2054.002922,2503.710249,1016.118056,1210.231961,700.4675479,1310.279414,1328.487381,1311.36306,666.6209182,438.9383832,583.78255,390.1554561,437.0345389,794.0392347,323.3950761,332.9494771,470.983492
ola-miR-456-3p,2742.83857,2311.620526,1718.978339,2380.163611,2964.12494,3633.080525,916.5671185,1720.614181,2349.975931,980.1017133,1378.871042,1757.614306,783.0634561,1191.895113,848.5338588,886.6411484,1257.063329,1120.2599,519.5721862,520.5286137,397.9670516,506.9495651,440.9021012,553.0180145,567.8921577,496.1042065,464.8781505
ola-miR-457a-5p,843.4009635,865.9544473,851.9488847,774.7774812,769.7126868,929.2766599,937.8918166,808.2996012,835.4457683,1386.214388,574.0528129,678.1219098,195.765864,183.368479,139.5240238,1872.631094,2599.835521,2217.455626,2269.996721,2762.127805,3071.564328,3007.606137,3143.941386,2609.091675,8547.860737,6027.239251,6169.883746
ola-miR-458-3p,79.23306703,73.19238128,98.33357641,49.65818842,103.1032581,69.171295,71.47722897,54.78651521,55.91655837,0,0,0,0,0,0,11.24703359,36.73236999,32.9488206,34.31137079,32.40866301,41.45490121,36.61653148,45.63723503,62.1036273,77.16397257,59.76016255,154.3779224
ola-miR-459-5p,1530.357045,354.0739719,982.9225978,1041.587361,485.3351549,1217.528188,88.85290895,184.2097323,248.0371978,0,0,0,0,0,0,1.874505599,6.122061665,0,16.88337293,91.54025867,18.04507465,18.93958525,42.5431852,38.44510261,55.48869938,129.9546392,71.51971546
ola-miR-459-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ola-miR-460-5p,26.81527269,10.95554752,44.20879276,20.85095204,22.30779584,25.06041999,22.5094036,19.0561792,10.70500303,0,0,0,0,0,0,0,2.040687222,0,1.633874799,1.705719106,11.21720856,0.631319508,2.320537375,0,15.6061967,5.691444052,18.31602469
ola-miR-460-3p,1.617001368,0.233096756,3.718496587,2.743546322,0.749841877,1.814329049,1.184705453,1.985018667,0.911064088,0,0,0,0,0,0,0,0,0,0.544624933,0.568573035,0.48770472,0,0.386756229,1.478657793,0.867010928,0.948574009,1.744383304
ola-miR-489-5p,12.93601094,10.25625725,15.08056949,10.28829871,8.248260648,15.42179692,7.503134533,2.382022401,10.59112002,0,0,0,9.322184001,0,0,26.24307839,30.61030833,65.89764119,23.41887213,36.10438773,31.70080681,20.20222426,31.32725456,26.61584027,9.537120206,4.742870043,13.95506643
ola-miR-489-3p,176.5226493,145.6854723,164.6467655,162.0064103,199.4579393,216.2453436,213.6418833,174.6816427,216.1499548,0,47.67880505,0,0,0,0,31.86659519,46.9358061,72.48740531,52.28399358,111.1560284,121.4384753,93.43528723,102.8771569,59.14631171,14.73918577,19.92005418,38.37643268
ola-miR-499a-5p,23471.71811,23315.73608,17498.21202,17091.33334,18559.71122,27051.53273,11020.52502,13315.10822,14256.44473,197.5016047,226.9511121,242.7644069,363.565176,128.3579353,310.3697671,4219.512104,4618.075183,3894.550595,1413.301702,988.4642217,1232.429828,1039.78323,1127.007652,1516.363566,202.0135462,189.7148017,223.2810629
ola-miR-499a-3p,101.0625855,72.95928452,70.44485201,45.81722357,51.73908952,88.90212341,23.69410905,39.70037334,34.50655232,0,0,0,0,0,0,1.874505599,0,6.589764119,3.812374532,1.990005623,5.364751922,1.893958525,3.094049833,2.957315585,2.601032783,0.948574009,0
ola-miR-7132a-5p,218.699435,142.8883112,152.6649432,217.5632233,198.3331765,285.5300341,111.3623125,145.7003702,99.98928361,193.7984496,167.8293938,123.0006328,18.644368,91.68423948,56.94858113,144.3369311,110.19711,128.5004003,154.1288561,314.9894615,152.1638727,241.1640522,93.59500744,76.89020522,125.7165845,103.3945669,211.9425714
